icao,callsign,lat,lon,alt,gs,trk,vr
A00322,FAKE,41.6086933900802,-78.5918736254926,30002,259.15835075256666,287.860547055778,-535
A01099,FAKE,38.88142634786218,-80.06296711580299,34698,472.10514042735565,98.45052735402174,-426
A00454,FAKE,40.039684400819304,-79.20758787488552,33078,561.8309994883405,4.375596167666748,365
A00397,FAKE,40.263584424131814,-79.84322040291234,30117,309.9648531361338,30.625829600712866,-1421
A01128,FAKE,39.800256243871985,-78.50097668729899,33519,114.46676194080592,202.12704433261345,1896
A01087,FAKE,39.602726474517034,-79.93357082065285,35164,240.9240598075609,120.552817691378,-1196
A00691,FAKE,40.233314071514016,-79.71494612312115,33258,344.2437059182256,70.96844337997123,-1750
A00742,FAKE,40.069172741544854,-80.68953838926922,31532,573.1946720587636,327.9313009217678,1235
A00217,FAKE,40.53917987657232,-80.42237933703515,32286,165.45923814498744,31.825060723661434,-33
A00385,FAKE,39.98447951724626,-79.29738100730322,28505,455.69042701843614,170.09450952427213,682
A00058,FAKE,41.38784236161052,-80.06188292409865,29616,411.90644490172565,290.0938977510992,-1109
A00412,FAKE,41.44240019384725,-80.36181857490149,29848,159.77230718686243,1.6333255327743128,-1103
A00748,FAKE,40.35085284404942,-78.7107164003389,26842,203.4900748885451,202.74110385703187,94
A01140,FAKE,39.87713911889382,-79.53322303640219,22518,150.75466805937185,243.00366773934482,-1365
A01045,FAKE,40.43844256850896,-78.88946391728224,31277,323.8928459679461,261.92947509869265,-1742
A00532,FAKE,40.23551660925225,-79.44434478142138,36272,523.8183083557552,122.90434921557781,-890
A00547,FAKE,40.6741612915887,-81.10647675858293,28237,498.2477428385807,247.91732812731067,-185
A00048,FAKE,40.770077908933175,-79.16853014610903,32019,219.50782103845177,254.79444502783582,2596
A01186,FAKE,40.187713433344456,-78.67570031971181,25664,420.7424238759206,54.01235462254802,-1434
A01143,FAKE,39.67630282639769,-80.65071352625331,40286,135.7648795319551,274.5458828537545,1666
A00396,FAKE,40.98847775372677,-80.61654011921031,21525,289.4042951551595,145.6025127028477,-2854
A00405,FAKE,40.2782812420393,-78.90987226833172,33244,453.7839703533389,134.23918032265883,-953
A00830,FAKE,39.501186607568194,-81.61565729622433,39614,206.79897081118122,131.7647932240634,-2805
A00780,FAKE,39.22892509329945,-79.171088307172,31974,322.3484376682587,10.457232900434526,-592
A01112,FAKE,39.634654678983566,-80.33913671077613,32043,401.0868655932118,209.17854451105117,-1806
A00393,FAKE,40.78445323083533,-79.86810712005712,24620,112.67123520425767,225.97585505539828,-2631
A00629,FAKE,39.98996500407454,-80.69591545328474,20364,124.5747354266167,22.737075431052475,2158
A00794,FAKE,39.940579117406315,-81.36909108024554,26034,484.2030963259001,292.4261555990327,-712
A01015,FAKE,40.64869018664868,-81.46590080661196,22266,242.43166878696684,172.66810678505857,-2567
A00603,FAKE,41.00027258410613,-79.87483974001304,30540,175.22000114318166,68.30894775022907,1014
A00584,FAKE,40.69286801298239,-80.58905084070571,23136,107.29587147011534,109.02769212421903,2818
A00340,FAKE,41.326006853848135,-79.25529859952239,27938,417.6577584990039,202.28341779257303,1151
A00166,FAKE,41.13971940760867,-80.59963063447529,30460,497.6891740073963,173.27324045009956,-1301
A00284,FAKE,41.24851558201245,-79.83616646397394,26385,197.43227812269203,175.69313719618162,2363
A00061,FAKE,40.741678056104504,-80.62820628496034,33516,268.0547711576762,26.120063406897884,-517
A00059,FAKE,40.868154356998375,-78.75164204628881,38363,425.188416290912,82.61979350849293,428
A00855,FAKE,40.65777448763232,-78.75777866447824,34477,478.78401019525506,288.4828243069564,723
A01086,FAKE,39.12407155921664,-79.29299015858771,31815,586.565072539918,190.82735857837585,459
